default_sentence,target_sentence
מה הפעולות שאתה יודע לעשות?,"אני יודע לצלם תמונות, לרקוד ולשיר, מה אתה יודע לעשות?"
איך אתה מרגיש?,"אני בסדר גמור, איך אתה מרגיש?"
האם עשית משהו מעניין היום?,"היום היה מעניין, מה אתה עשית היום?"
אני מרגיש ורוצה לדבר על זה,"אני מבין, מה גורם לך להרגיש ככה?"
מה קרה לך?,"אני מבין, זה קרה לך בעבר?"
על מה אתה מדבר בעברית?,"אני לומד עברית, תוכל לעזור לי ללמוד עברית?"
מה התחביבים שאתה אוהב לעשות?,"אני אוהב לשיר ולרקוד, מה התחביבים שלך?"
מה תרצה ללמוד?,מה עוד תרצה ללמוד?
איך פוגשים ומכירים חברים חדשים?,איך אתה מכיר חברים חדשים?
מה מטרת הביקור במרפאה?,למה אתה מבקר במרפאה?
מה קראת לאחרונה?,תספר לי מה אתה קראת?
תספר לי על המשפחה שלך,"אני עולה חדש מיפן, תספר לי על המשפחה שלך"
במה עבדת?,"אני רוצה לעבוד כמורה, תספר לי במה אתה עבדת?"
מה אתה אוהב לאכול ולבשל?,"אני אוהב לאכול, מה אתה יודע לבשל?"
מה זכרונות הילדות שלך?,"אני זוכר את הרחוב בו הייתי משחק עם החברים, מה את זוכר מהילדות?"
איזה חג אתה אוהב לחגוג?,"אני אוהב את ראש השנה, איזה חג אתה אוהב לחגוג?"
איפה כדאי לטייל?,"אני מתכנן טיול, איפה אתה ממליץ לבקר בישראל?"
איך קוראים לך?,"אני רובוהון, מה השם העברי שלי?"
פעולת ריקוד,שנרקוד ביחד?
איזו מוזיקה אתה אוהב לשיר?,שנשיר ביחד?
האם אתה מרגיש בודד?,האם אתה מרוצה מהקשרים שיש לך עם אנשים?
האם אתה מרגיש במצב רוח ירוד?,האם אתה חש שמחה רוב הזמן?
כיצד נברך על אירוע משמח?,"מזל טוב, זה ממש משמח"
אולי נתייעץ על כך?,עם מי אתה מתייעץ על כך?
פעולת ספורט,נתאמן ביחד?