similarity,sentence1,sentence2
positive,מה אתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?
positive,מה את יודעת לעשות?,מה הפעולות שאתה יודע לעשות?
positive,מה הפעולות שאתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?
positive,מה הפעולות שאת יודעת לעשות?,מה הפעולות שאתה יודע לעשות?
positive,מה אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,מה את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,מה הפעולות שאתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,מה הפעולות שאת יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,איזה פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,איזה פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,איזו פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,איזו פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,מה הפעולות שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,מה הפעולות שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,מה הביצועים שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,מה הביצועים שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי מה אתה יודע לעשות,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי מה את יודעת לעשות,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי מה הפעולות שאתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי מה הפעולות שאת יודעת לעשות?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי מה אתה יודע לבצע,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי מה את יודעת לבצע,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי מה הפעולות שאתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי מה הפעולות שאת יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי איזה פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי איזה פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי איזו פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי איזו פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי מה הפעולות שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי מה הפעולות שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי מה הביצועים שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי מה הביצועים שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגיד לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תגידי לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי מה אתה יודע לעשות,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי מה את יודעת לעשות,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי מה הפעולות שאתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי מה הפעולות שאת יודעת לעשות?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי מה אתה יודע לבצע,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי מה את יודעת לבצע,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי מה הפעולות שאתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי מה הפעולות שאת יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי איזה פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי איזה פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי איזו פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי איזו פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי מה הפעולות שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי מה הפעולות שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי מה הביצועים שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי מה הביצועים שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמר לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תאמרי לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי מה את יודעת לעשות,מה הפעולות שאתה יודע לעשות?
positive,תומר לי מה הפעולות שאתה יודע לעשות?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי מה הפעולות שאת יודעת לעשות?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי מה אתה יודע לבצע,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי מה את יודעת לבצע,מה הפעולות שאתה יודע לעשות?
positive,תומר לי מה הפעולות שאתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי מה הפעולות שאת יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי איזה פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי איזה פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי איזו פעולות אתה יודע לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי איזו פעולות את יודעת לבצע?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי מה הפעולות שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי מה הפעולות שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי איזה פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי איזו פעולות נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי מה הביצועים שאתה תומך בהן?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי מה הביצועים שאת תומכת בהן?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי איזה ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומר לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,תומרי לי איזו ביצועים נתמכות על ידך?,מה הפעולות שאתה יודע לעשות?
positive,מה שלומך?,מה שלומך היום?
positive,מה שלומך היום?,מה שלומך היום?
positive,תגיד לי מה שלומך?,מה שלומך היום?
positive,תאמר לי מה שלומך?,מה שלומך היום?
positive,תגידי לי מה שלומך?,מה שלומך היום?
positive,תאמרי לי מה שלומך?,מה שלומך היום?
positive,תומר לי מה שלומך?,מה שלומך היום?
positive,תומרי לי מה שלומך?,מה שלומך היום?
positive,"שלום, מה שלומך?",מה שלומך היום?
positive,שלום מה שלומך היום?,מה שלומך היום?
positive,האם שלומך בסדר?,מה שלומך היום?
positive,האם שלומך בסדר היום?,מה שלומך היום?
positive,תגיד לי האם שלומך בסדר?,מה שלומך היום?
positive,תאמר לי האם שלומך בסדר?,מה שלומך היום?
positive,תומר לי האם שלומך בסדר?,מה שלומך היום?
positive,תגידי לי האם שלומך בסדר?,מה שלומך היום?
positive,תאמרי לי האם שלומך בסדר?,מה שלומך היום?
positive,תומרי לי האם שלומך בסדר?,מה שלומך היום?
positive,מה נשמע?,מה שלומך היום?
positive,מה נשמע איתך?,מה שלומך היום?
positive,מה נשמע איתך היום?,מה שלומך היום?
positive,"שלום, מה נשמע?",מה שלומך היום?
positive,תגיד לי מה נשמע?,מה שלומך היום?
positive,תאמר לי מה נשמע?,מה שלומך היום?
positive,תומר לי מה נשמע?,מה שלומך היום?
positive,תגידי לי מה נשמע?,מה שלומך היום?
positive,תאמרי לי מה נשמע?,מה שלומך היום?
positive,תומרי לי מה נשמע?,מה שלומך היום?
positive,תגיד לי מה נשמע איתך?,מה שלומך היום?
positive,תאמר לי מה נשמע איתך?,מה שלומך היום?
positive,תומר לי מה נשמע איתך?,מה שלומך היום?
positive,תגידי לי מה נשמע איתך?,מה שלומך היום?
positive,תאמרי לי מה נשמע איתך?,מה שלומך היום?
positive,תומרי לי מה נשמע איתך?,מה שלומך היום?
positive,מה המצב איתך?,מה שלומך היום?
positive,מה המצב?,מה שלומך היום?
positive,האם מצבך בסדר?,מה שלומך היום?
positive,האם מצבך בסדר היום?,מה שלומך היום?
positive,תגיד לי מה המצב איתך?,מה שלומך היום?
positive,תגיד לי מה המצב?,מה שלומך היום?
positive,תגיד לי האם מצבך בסדר?,מה שלומך היום?
positive,תגיד לי האם מצבך בסדר היום?,מה שלומך היום?
positive,תאמר לי מה המצב איתך?,מה שלומך היום?
positive,תאמר לי מה המצב?,מה שלומך היום?
positive,תאמר לי האם מצבך בסדר?,מה שלומך היום?
positive,תאמר לי האם מצבך בסדר היום?,מה שלומך היום?
positive,תומר לי מה המצב איתך?,מה שלומך היום?
positive,תומר לי מה המצב?,מה שלומך היום?
positive,תומר לי האם מצבך בסדר?,מה שלומך היום?
positive,תומר לי האם מצבך בסדר היום?,מה שלומך היום?
positive,האם עבדת היום?,האם עשית משהו מעניין היום?
positive,האם דיברת עם בני המשפחה שלך?,האם עשית משהו מעניין היום?
positive,האם דיברת עם חברים?,האם עשית משהו מעניין היום?
positive,האם דיברת עם חברות?,האם עשית משהו מעניין היום?
positive,האם יצאת לטייל היום?,האם עשית משהו מעניין היום?
positive,האם פגשת חברים?,האם עשית משהו מעניין היום?
positive,האם פגשת חברות?,האם עשית משהו מעניין היום?
positive,האם פגשת את הכנדים?,האם עשית משהו מעניין היום?
positive,האם פגשת את הנכדות?,האם עשית משהו מעניין היום?
positive,האם קראת עיתון?,האם עשית משהו מעניין היום?
positive,האם קראת ספר?,האם עשית משהו מעניין היום?
positive,האם צפית בתוכנית טלוויזיה?,האם עשית משהו מעניין היום?
positive,האם צפית בסרט?,האם עשית משהו מעניין היום?
positive,תגיד לי שמעת משהו מעניין היום?,האם עשית משהו מעניין היום?
positive,תגידי לי האם היה משהו מעניין היום?,האם עשית משהו מעניין היום?
positive,תגיד לי האם ראית משהו מעניין היום?,האם עשית משהו מעניין היום?
positive,תגידי לי האם ראית משהו מעניין?,האם עשית משהו מעניין היום?
positive,תומרי לי האם היה מעניין היום?,האם עשית משהו מעניין היום?
positive,תומר לי האם היה מעניין היום?,האם עשית משהו מעניין היום?
positive,תאמרי לי היה לך מעניין היום?,האם עשית משהו מעניין היום?
positive,תאמרי לי מה תעשי היום?,האם עשית משהו מעניין היום?
positive,תומר לי מה תעשה היום?,האם עשית משהו מעניין היום?
positive,תומרי לי איך היה היום?,האם עשית משהו מעניין היום?
positive,תגידי לי איך היה היום?,האם עשית משהו מעניין היום?
positive,האם אתה חושב על משהו מעניין לעשות?,האם עשית משהו מעניין היום?
positive,תגידי לי האם את רוצה לעשות משהו מעניין?,האם עשית משהו מעניין היום?
positive,האם היית עסוקה היום?,האם עשית משהו מעניין היום?
positive,האם אתה עסוק היום?,האם עשית משהו מעניין היום?
positive,תספרי לי מה עשית היום,האם עשית משהו מעניין היום?
positive,תסרי לי מה עשית היום?,האם עשית משהו מעניין היום?
positive,האם ביקרת במקום מעניין?,האם עשית משהו מעניין היום?
positive,תגידי לי האם ביקרת במקום מעניין?,האם עשית משהו מעניין היום?
positive,אולי נעשה משהו מעניין היום?,האם עשית משהו מעניין היום?
positive,האם אתה מכיר משהו מעניין?,האם עשית משהו מעניין היום?
positive,תגיד לי האם ביקרת במקום מעניין היום?,האם עשית משהו מעניין היום?
positive,תספרי לי איך היה היום?,האם עשית משהו מעניין היום?
positive,איך אתה מרגיש?,איך אתה מרגיש? 
positive,איך את מרגישה?,איך אתה מרגיש? 
positive,האם אתה מרגיש בסדר?,איך אתה מרגיש? 
positive,איך אתה מרגיש היום?,איך אתה מרגיש? 
positive,האם אתה מרגיש בסדר היום?,איך אתה מרגיש? 
positive,איך המרגש אצלך?,איך אתה מרגיש? 
positive,איך המרגש?,איך אתה מרגיש? 
positive,תגיד לי איך אתה מרגיש?,איך אתה מרגיש? 
positive,תגיד לי מה המרגש?,איך אתה מרגיש? 
positive,תגיד לי האם אתה מרגיש בסדר?,איך אתה מרגיש? 
positive,תגיד לי האם אתה מרגיש בסדר היום?,איך אתה מרגיש? 
positive,תאמר לי איך אתה מרגיש?,איך אתה מרגיש? 
positive,תאמר לי מה המרגש?,איך אתה מרגיש? 
positive,תאמר לי האם אתה מרגיש בסדר?,איך אתה מרגיש? 
positive,תאמר לי האם אתה מרגיש בסדר היום?,איך אתה מרגיש? 
positive,תומר לי איך אתה מרגיש?,איך אתה מרגיש? 
positive,תומר לי מה המרגש?,איך אתה מרגיש? 
positive,תומר לי האם אתה מרגיש בסדר?,איך אתה מרגיש? 
positive,תומר לי האם אתה מרגיש בסדר היום?,איך אתה מרגיש? 
positive,אני מרגיש בר מזל,איך אתה מרגיש? 
positive,אני מרגישה ברת מזל,איך אתה מרגיש? 
positive,אני מרגישה לא טוב,איך אתה מרגיש? 
positive,אני מרגיש לא טוב,איך אתה מרגיש? 
positive,אני מרגישה טוב,איך אתה מרגיש? 
positive,אני מרגיש מבולבל,איך אתה מרגיש? 
positive,אני מרגישה מבולבלת,איך אתה מרגיש? 
positive,אני מרגיש שאני בבית,איך אתה מרגיש? 
positive,אני מרגישה שאני בבית,איך אתה מרגיש? 
positive,אני מתרגשת,איך אתה מרגיש? 
positive,אני מתרגש,איך אתה מרגיש? 
positive,תומר לי מה אתה מרגיש,איך אתה מרגיש? 
positive,תומרי לי מה את מרגישה,איך אתה מרגיש? 
positive,תספרי לי מה אתה מרגיש?,איך אתה מרגיש? 
positive,תספר לי מה את מרגישה?,איך אתה מרגיש? 
positive,אני מרגיש געגוע,איך אתה מרגיש? 
positive,אני מתגעגעת,איך אתה מרגיש? 
positive,אני מתגעגע,איך אתה מרגיש? 
positive,אני מפחד היום,איך אתה מרגיש? 
positive,אני מפחדת היום,איך אתה מרגיש? 
positive,אני מרגישה קצת חולה,איך אתה מרגיש? 
positive,האם אתה מרגיש טוב?,איך אתה מרגיש? 
positive,האם את מרגישה טוב?,איך אתה מרגיש? 
positive,אני מרגיש קצת חולה,איך אתה מרגיש? 
positive,אני מרגיש לבד,איך אתה מרגיש? 
positive,אני מרגישה לבד,איך אתה מרגיש? 
positive,אני מרגיש לא קשור לכאן,איך אתה מרגיש? 
positive,אני מרגישה לא קשורה לכאן,איך אתה מרגיש? 
positive,אני מרגיש בלחץ,איך אתה מרגיש? 
positive,אני מרגישה בלחץ,איך אתה מרגיש? 
positive,אני מרגיש שמח,איך אתה מרגיש? 
positive,אני מרגישה שמחה,איך אתה מרגיש? 
positive,אני מרגישה מרוצה ,איך אתה מרגיש? 
positive,אני מרגיש מרוצה,איך אתה מרגיש? 
positive,אני מרגישה בודדה בעולם,איך אתה מרגיש? 
positive,אני מרגיש בודד בעולם,איך אתה מרגיש? 
positive,תאמרי לי את מרגישה לבד לפעמים?,איך אתה מרגיש? 
positive,תומר לי אתה מרגיש לבד לפעמים?,איך אתה מרגיש? 
positive,תספר לי איך אתה מרגיש?,איך אתה מרגיש? 
positive,תספרי לי איך את מרגישה?,איך אתה מרגיש? 
positive,אני מרגישה צער,איך אתה מרגיש? 
positive,אני מרגיש צער,איך אתה מרגיש? 
positive,אני מרגיש שאכזבתי את משפחתי,איך אתה מרגיש? 
positive,אני מרגישה שאכזבתי את המשפחה,איך אתה מרגיש? 
positive,"אתה מרגיש עכשיו הקלה, זה נכון?",איך אתה מרגיש? 
positive,מה חשוב לעשות?,בגיל במבוגר חשוב במיוחד לשמור על הבריאות ולאמץ אורח חיים בריא
positive,מה חשוב לך לעשות בגיל מבוגר?,בגיל במבוגר חשוב במיוחד לשמור על הבריאות ולאמץ אורח חיים בריא
positive,מה תקפיד לעשות?,בגיל במבוגר חשוב במיוחד לשמור על הבריאות ולאמץ אורח חיים בריא
positive,כיצד תחייה אורח חיים בריא?,בגיל במבוגר חשוב במיוחד לשמור על הבריאות ולאמץ אורח חיים בריא
positive,היום כמעט ונפלתי,בגיל במבוגר חשוב במיוחד לשמור על הבריאות ולאמץ אורח חיים בריא
positive,פחדתי מנפילה,בגיל במבוגר חשוב במיוחד לשמור על הבריאות ולאמץ אורח חיים בריא
positive,האם קרה היום משהו?,מה קרה לך?
positive,מה קרה לך?,מה קרה לך?
positive,מה קרה לו?,מה קרה לך?
positive,תספר לי מה קרה?,מה קרה לך?
positive,תספר לי מה נשמע?,מה קרה לך?
positive,תגיד מה קרה לך?,מה קרה לך?
positive,תגידי מה קרה לך?,מה קרה לך?
positive,תומרי לי מה קרה לך?,מה קרה לך?
positive,תומר לי מה קרה?,מה קרה לך?
positive,כואב לי,מה קרה לך?
positive,לקחו לי,מה קרה לך?
positive,שכחתי מה רציתי להגיד,מה קרה לך?
positive,שכחתי דברים,מה קרה לך?
positive,קרה לך ששכחת דברים,מה קרה לך?
negative,מה אתה יודע לעשות?,מה שלומך היום?
negative,מה את יודעת לעשות?,מה שלומך היום?
negative,מה הפעולות שאתה יודע לעשות?,מה שלומך היום?
negative,מה הפעולות שאת יודעת לעשות?,מה שלומך היום?
negative,מה אתה יודע לבצע?,מה שלומך היום?
negative,מה את יודעת לבצע?,מה שלומך היום?
negative,מה הפעולות שאתה יודע לבצע?,מה שלומך היום?
negative,מה הפעולות שאת יודעת לבצע?,מה שלומך היום?
negative,איזה פעולות אתה יודע לבצע?,מה שלומך היום?
negative,איזה פעולות את יודעת לבצע?,מה שלומך היום?
negative,איזו פעולות אתה יודע לבצע?,מה שלומך היום?
negative,איזו פעולות את יודעת לבצע?,מה שלומך היום?
negative,מה הפעולות שאתה תומך בהן?,מה שלומך היום?
negative,מה הפעולות שאת תומכת בהן?,מה שלומך היום?
negative,איזה פעולות נתמכות על ידך?,מה שלומך היום?
negative,איזו פעולות נתמכות על ידך?,מה שלומך היום?
negative,מה הביצועים שאתה תומך בהן?,מה שלומך היום?
negative,מה הביצועים שאת תומכת בהן?,מה שלומך היום?
negative,איזה ביצועים נתמכות על ידך?,מה שלומך היום?
negative,איזו ביצועים נתמכות על ידך?,מה שלומך היום?
negative,תגיד לי מה אתה יודע לעשות,מה שלומך היום?
negative,תגידי לי מה את יודעת לעשות,מה שלומך היום?
negative,תגיד לי מה הפעולות שאתה יודע לעשות?,מה שלומך היום?
negative,תגידי לי מה הפעולות שאת יודעת לעשות?,מה שלומך היום?
negative,תגיד לי מה אתה יודע לבצע,מה שלומך היום?
negative,תגידי לי מה את יודעת לבצע,מה שלומך היום?
negative,תגיד לי מה הפעולות שאתה יודע לבצע?,מה שלומך היום?
negative,תגידי לי מה הפעולות שאת יודעת לבצע?,מה שלומך היום?
negative,תגיד לי איזה פעולות אתה יודע לבצע?,מה שלומך היום?
negative,תגידי לי איזה פעולות את יודעת לבצע?,מה שלומך היום?
negative,תגיד לי איזו פעולות אתה יודע לבצע?,מה שלומך היום?
negative,תגידי לי איזו פעולות את יודעת לבצע?,מה שלומך היום?
negative,תגיד לי מה הפעולות שאתה תומך בהן?,מה שלומך היום?
negative,תגידי לי מה הפעולות שאת תומכת בהן?,מה שלומך היום?
negative,תגיד לי איזה פעולות נתמכות על ידך?,מה שלומך היום?
negative,תגידי לי איזה פעולות נתמכות על ידך?,מה שלומך היום?
negative,תגיד לי איזו פעולות נתמכות על ידך?,מה שלומך היום?
negative,תגידי לי איזו פעולות נתמכות על ידך?,מה שלומך היום?
negative,תגיד לי מה הביצועים שאתה תומך בהן?,מה שלומך היום?
negative,תגידי לי מה הביצועים שאת תומכת בהן?,מה שלומך היום?
negative,תגיד לי איזה ביצועים נתמכות על ידך?,מה שלומך היום?
negative,תגיד לי איזו ביצועים נתמכות על ידך?,מה שלומך היום?
negative,תגידי לי איזה ביצועים נתמכות על ידך?,מה שלומך היום?
negative,תגידי לי איזו ביצועים נתמכות על ידך?,מה שלומך היום?
negative,תאמר לי מה אתה יודע לעשות,מה שלומך היום?
negative,תאמרי לי מה את יודעת לעשות,מה שלומך היום?
negative,תאמר לי מה הפעולות שאתה יודע לעשות?,מה שלומך היום?
negative,תאמרי לי מה הפעולות שאת יודעת לעשות?,מה שלומך היום?
negative,תאמר לי מה אתה יודע לבצע,מה שלומך היום?
negative,תאמרי לי מה את יודעת לבצע,מה שלומך היום?
negative,תאמר לי מה הפעולות שאתה יודע לבצע?,מה שלומך היום?
negative,תאמרי לי מה הפעולות שאת יודעת לבצע?,מה שלומך היום?
negative,תאמר לי איזה פעולות אתה יודע לבצע?,מה שלומך היום?
negative,תאמרי לי איזה פעולות את יודעת לבצע?,מה שלומך היום?
negative,תאמר לי איזו פעולות אתה יודע לבצע?,מה שלומך היום?
negative,תאמרי לי איזו פעולות את יודעת לבצע?,מה שלומך היום?
negative,תאמר לי מה הפעולות שאתה תומך בהן?,מה שלומך היום?
negative,תאמרי לי מה הפעולות שאת תומכת בהן?,מה שלומך היום?
negative,תאמר לי איזה פעולות נתמכות על ידך?,מה שלומך היום?
negative,תאמרי לי איזה פעולות נתמכות על ידך?,מה שלומך היום?
negative,תאמר לי איזו פעולות נתמכות על ידך?,מה שלומך היום?
negative,תאמרי לי איזו פעולות נתמכות על ידך?,מה שלומך היום?
